product_id,main_category,name,count_sold,final_price,original_price,stock,is_official,rating_average,shop_location,discount_percentage
100000129013,rumah_tangga,SAPPORO COAT HANGER N5 - Gantungan Baju | Hanger Pakaian Besi,321,8900,20000,172,t,,,55.50
5255980595,buku,Disney Mickey: The Rigatoni Ribbon,0,135200,169000,1,f,,Bogor,20.00
1939305588,buku,SENI MENGELOLA KONFLIK,9,68000,,6,t,5,Kota Administrasi Jakarta Selatan,0
100000129021,rumah_tangga,SAPPORO COAT HANGER N4 - Gantungan Baju | Hanger Pakaian Besi,200,12900,29000,154,t,,,55.52
669898074,dapur,Maxim Wajan Venice Set - teflon - Black Diamond,0,250844,443800,128,f,5,Surabaya,43.48
378646445,rumah_tangga,Guling Dacron / Bantal Guling,581,88000,154000,2500,t,5,Kab. Tangerang,42.86
359930196,rumah_tangga,Dymax Power Head PH400,11,109000,,41,t,5,Kab. Tangerang,0
1162345282,dapur,Panci Set Homelux 13 Pcs Cookware Set Marble - Hijau,0,145000,,176,f,,Tangerang,0
9541215128,film_musik,ELZSA KB,929,105888,,133,f,5,Kota Surabaya,0
594349196,dapur,china panci aluminium 24cm non induction,0,160000,,55,f,5,Tangerang Selatan,0
268823794,rumah_tangga,Ambalan Laci Melayang 60x20x5.5 MERK KINBAR A543,2112,108500,,295,f,4.8,Kota Administrasi Jakarta Barat,0
6609702421,office_stationery,Kertas HVS Paper One 100 gr,2,100000,,498,f,,Kota Tangerang,0
2145556006,rumah_tangga,Daiso Storage Box with Lid -,285,33000,,1,t,5,Kota Administrasi Jakarta Selatan,0
393798215,dapur,EXQUISITE SPAGHETTI SPOON,0,93500,,2,f,5,Tangerang Selatan,0
2205081570,"",MICRO 0.1 GRAM 0.1GR BIRTHDAY BLUE,15,324000,,100,t,5,Kota Surabaya,0
796037947,elektronik,Aqua AQW 77 DH Mesin Cuci (1 Tabung / 7KG),351,1905000,1920000,18,f,5,Kota Bekasi,0.78
7108956199,elektronik,SHARP MICROWAVE OVEN 25 LITER R-725DA-BK,5,1500000,,10,t,5,Kota Palembang,0
16221525524,office_stationery,Pen Standard AE7,26483,17000,,2180,f,4.9,Kota Tangerang Selatan,0
8283649897,film_musik,MIPRO MI-58R & MI-58T BMJ,4,9675000,,1,t,5,Kota Administrasi Jakarta Pusat,0
1276550898,rumah_tangga,Shinpo 204 Kotak Box Tempat Masker Pensil Penyimpanan Serbaguna Kawaii,3686,9300,,6853,f,4.9,Kota Administrasi Jakarta Barat,0
11753450086,gaming,PS5 Dying Light 2 Stay Human,2,519000,,2,t,5,Kota Administrasi Jakarta Pusat,0
4062161360,perawatan_hewan,AquaPro CrabKal 300gr/12oz,14,119000,,986,t,5,Kab. Tangerang,0
100838641809,kecantikan,Montiss Facial Tissue 1100 Sheets,9051,27000,39121,4388,t,4.9,Kab. Mojokerto,30.98
4635604441,perawatan_tubuh,GILLETTE GOAL II 2 PCS,2,21650,,5,t,5,Kota Serang,0
1781874455,perawatan_tubuh,GILLETTE GOAL II 3'+1'S,2,36050,,1,t,5,Kota Cilegon,0
781949458,rumah_tangga,Informa 42X20X79 cm Rak Sepatu 5 Tingkat - Hitam Penyimpanan Alas Kaki Organizer Sepatu Tempat Sandal Rak Multifungsi Vertikal,5354,59400,128600,26,t,4.7,Kota Administrasi Jakarta Utara,53.81
9665251383,rumah_tangga,STORA LACI PENYIMPANAN STACKABLE - BIRU TUA,97,21700,32300,3,t,5,Kota Administrasi Jakarta Selatan,32.82
